Compound,Date,Negative,Neutral,Positive,Source Account,Text,Tweets Ago,user
0.4215,Sat Sep 29 20:32:03 +0000 2018,0.743,0.0,0.257,1046135540033212416,Chile has launched a huge hiking route through its Patagonian wilderness. 🌲😍🏔  https://t.co/WFIcKZe5Hv https://t.co/RLKjTx2Emo,1,@BBC
0.4215,Sat Sep 29 17:02:12 +0000 2018,0.865,0.0,0.135,1046082728188407809,🐣😍 Conservationists have been monitoring the progress of rare Leach's storm petrel chicks on the remote Scottish ar… https://t.co/KzMHUIysAO,2,@BBC
-0.7003,Sat Sep 29 16:01:07 +0000 2018,0.707,0.293,0.0,1046067355451895809,"'My children bought back the car I sold to pay for wife's cancer treatment'. ❤️️🚘

https://t.co/xOJwzbgGlE https://t.co/Tx3WYCkCXu",3,@BBC
0.5499,Sat Sep 29 15:54:38 +0000 2018,0.871,0.0,0.129,1046065725079769088,"RT @BBCEngland: Benny the beluga whale is spending his fifth day in the Thames but appears to be healthy and swimming normally, the Port of…",4,@BBC
0.7088,Sat Sep 29 15:02:04 +0000 2018,0.671,0.0,0.329,1046052495095734272,"Always start by playing paper! 👊✋✌️

This is how to win at rock-paper-scissors... 

https://t.co/2VzUFq74FT",5,@BBC
0.0,Sat Sep 29 14:03:07 +0000 2018,1.0,0.0,0.0,1046037662006726657,"'What do I know her from again?' 🤔📺

These are the TV actors who pop up in everything. https://t.co/XLQBs5bE5p https://t.co/DJWV8U3OhY",6,@BBC
-0.5256,Sat Sep 29 13:01:07 +0000 2018,0.747,0.253,0.0,1046022057224491008,"This is the world's most dangerous city to be a woman. 

https://t.co/v1qrWFF6B6",7,@BBC
-0.186,Sat Sep 29 11:03:02 +0000 2018,0.616,0.227,0.156,1045992340396093440,"""New York City is underwhelming"". 😳😳😳
 
#UnpopularOpinion was HARSH this week. 😂 @gregjames

https://t.co/pSz5eP8YbR",8,@BBC
0.4939,Sat Sep 29 10:03:05 +0000 2018,0.819,0.0,0.181,1045977253060988928,"What's it like growing up with tourettes?

Brother and sister Jack and Rebecca describe how people react to their t… https://t.co/VXY3jdCbEu",9,@BBC
-0.5267,Sat Sep 29 09:01:02 +0000 2018,0.746,0.254,0.0,1045961640137691136,"This school became a national leader by focusing on a neglected subject... 

https://t.co/5c7iSPT3rc",10,@BBC
0.6808,Sat Sep 29 08:11:46 +0000 2018,0.763,0.0,0.237,1045949239812149249,RT @BBCOne: .@LadyGaga &amp; Jodie Whittaker playing the #DoctorWho theme tune on the theremin is a joy to behold. #TheGNShow https://t.co/0aLu…,11,@BBC
-0.1022,Sat Sep 29 08:05:03 +0000 2018,0.746,0.136,0.118,1045947552531648512,"""I've broken around 80 bones"". 😬🏥

Meet the man who can't feel pain. 👉 https://t.co/6qsfeQmIct https://t.co/6jXkhYCTza",12,@BBC
0.0,Sat Sep 29 07:03:06 +0000 2018,1.0,0.0,0.0,1045931960743415808,"Say hello to baby Omo, a rare albino squirrel... 😍🐿️

https://t.co/FVppFQSOJw",13,@BBC
0.0,Sat Sep 29 06:31:00 +0000 2018,1.0,0.0,0.0,1045923881389703168,"Over the last 50 years, the flesh-footed shearwater population has dropped by 30%.

Plastic is a major cause of the… https://t.co/827iYwzryJ",14,@BBC
0.3595,Fri Sep 28 20:31:03 +0000 2018,0.865,0.0,0.135,1045772898147995648,"The Graham Norton Show is back! Tonight Bradley Cooper, @ladygaga, Jodie Whittaker and @ryangosling join @grahnort… https://t.co/prBbKLrkaO",15,@BBC
